asin,description,shingles,similarity
0071480935,latin rhythm get kid sing spanish sing watch learn spanish help kid age four eight take giant step learn spanish combin two time honor method kid alway use develop languag skill imit kid sing along simpl melodi charm dvd contain music video featur kid engag fun activ visit anim zoo compar cloth size grandma closet video featur origin song authent latin rhythm get kid sing along children screen watch listen sing along kid absorb spanish word shout song display subtitl screen,"['step learn', 'contain music', 'engag fun', 'get kid', 'watch learn', 'learn spanish', 'along kid', 'skill imit', 'music video', 'along children', 'spanish sing', 'combin two', 'two time', 'take giant', 'use develop', 'watch listen', 'spanish combin', 'method kid', 'develop languag', 'giant step', 'alway use', 'featur kid', 'zoo compar', 'imit kid', 'along simpl', 'rhythm get', 'listen sing', 'kid engag', 'spanish help', 'size grandma', 'authent latin', 'word shout', 'song display', 'eight take', 'display subtitl', 'kid alway', 'kid age', 'simpl melodi', 'four eight', 'help kid', 'dvd contain', 'time honor', 'visit anim', 'anim zoo', 'featur origin', 'kid sing', 'latin rhythm', 'kid absorb', 'cloth size', 'activ visit', 'children screen', 'screen watch', 'absorb spanish', 'grandma closet', 'closet video', 'charm dvd', 'sing spanish', 'languag skill', 'spanish word', 'song authent', 'sing watch', 'compar cloth', 'melodi charm', 'sing along', 'video featur', 'honor method', 'subtitl screen', 'fun activ', 'shout song', 'origin song', 'age four']",0.0903954802259887
0077510585,connect integr learn system empow student continu adapt deliv precis need need need class time engag effect linda sherwood member depart microbiolog montana state univers,"['continu adapt', 'microbiolog montana', 'deliv precis', 'need need', 'engag effect', 'effect linda', 'connect integr', 'montana state', 'integr learn', 'system empow', 'need class', 'depart microbiolog', 'state univers', 'linda sherwood', 'sherwood member', 'student continu', 'time engag', 'adapt deliv', 'precis need', 'member depart', 'class time', 'empow student', 'learn system']",0.02112676056338028
0077627008,connect integr learn system empow student continu adapt deliv precis need need need class time engag effect connect mheduc com arthur geti retir professor san diego state univers san diego,"['continu adapt', 'mheduc com', 'deliv precis', 'need need', 'effect connect', 'engag effect', 'professor san', 'diego state', 'connect integr', 'retir professor', 'com arthur', 'geti retir', 'san diego', 'integr learn', 'system empow', 'need class', 'state univers', 'connect mheduc', 'student continu', 'univers san', 'time engag', 'arthur geti', 'adapt deliv', 'precis need', 'class time', 'empow student', 'learn system']",0.02054794520547945
0077677315,connect integr learn system empow student continu adapt deliv precis need need need class time engag effect michael mckinley award win author filmmak journalist screenwrit written sever book wrote co produc cbc tv documentari film sacr ballot well sever documentari cnn present,"['continu adapt', 'written sever', 'michael mckinley', 'book wrote', 'deliv precis', 'documentari film', 'sacr ballot', 'need need', 'wrote co', 'effect michael', 'documentari cnn', 'author filmmak', 'engag effect', 'sever book', 'cnn present', 'cbc tv', 'award win', 'connect integr', 'filmmak journalist', 'screenwrit written', 'film sacr', 'integr learn', 'sever documentari', 'system empow', 'need class', 'journalist screenwrit', 'ballot well', 'student continu', 'time engag', 'adapt deliv', 'co produc', 'produc cbc', 'precis need', 'well sever', 'mckinley award', 'class time', 'empow student', 'win author', 'tv documentari', 'learn system']",0.018867924528301886
B00004VUA5,talk beginn norwegian perfect way studi new languag oper multipl level creat immers learn experi vocabulari lesson cultur exercis develop solid norwegian vocabulari fun unconvent languag learn seri offer game quizz make learn process fun relax success ideal beginn talk norwegian includ topic vocabulari phrase cultur handi print pictur dictionari produc entri text pictori refer interact softwar titl also featur record tool compar pronunci nativ speaker microphon requir quizz challeng memori game let test newli acquir skill also track score print award celebr best chang talk norwegian onscreen help menu languag choic languag choos softwar make learn norwegian access everyon,"['softwar titl', 'choic languag', 'pictori refer', 'speaker microphon', 'beginn norwegian', 'unconvent languag', 'languag choos', 'norwegian access', 'onscreen help', 'text pictori', 'success ideal', 'chang talk', 'way studi', 'dictionari produc', 'also track', 'newli acquir', 'pictur dictionari', 'skill also', 'quizz make', 'talk norwegian', 'develop solid', 'norwegian onscreen', 'topic vocabulari', 'vocabulari phrase', 'refer interact', 'best chang', 'help menu', 'ideal beginn', 'compar pronunci', 'quizz challeng', 'award celebr', 'norwegian vocabulari', 'track score', 'handi print', 'menu languag', 'norwegian perfect', 'celebr best', 'offer game', 'also featur', 'game let', 'phrase cultur', 'experi vocabulari', 'requir quizz', 'fun unconvent', 'relax success', 'learn experi', 'talk beginn', 'acquir skill', 'solid norwegian', 'norwegian includ', 'featur record', 'access everyon', 'languag choic', 'tool compar', 'new languag', 'titl also', 'let test', 'process fun', 'produc entri', 'languag learn', 'choos softwar', 'exercis develop', 'perfect way', 'softwar make', 'learn norwegian', 'make learn', 'game quizz', 'challeng memori', 'seri offer', 'entri text', 'languag oper', 'cultur handi', 'print award', 'vocabulari fun', 'memori game', 'includ topic', 'microphon requir', 'oper multipl', 'level creat', 'multipl level', 'fun relax', 'studi new', 'nativ speaker', 'beginn talk', 'record tool', 'score print', 'learn process', 'pronunci nativ', 'cultur exercis', 'test newli', 'vocabulari lesson', 'lesson cultur', 'interact softwar', 'print pictur', 'creat immers', 'learn seri', 'immers learn']",0.018604651162790697
B00004UAB7,talk beginn egyptian perfect way studi new languag oper multipl level creat immers learn experi vocabulari lesson cultur exercis develop solid egyptian vocabulari fun unconvent languag learn seri offer game quizz make learn process fun relax success ideal beginn talk arab includ topic vocabulari phrase cultur handi print pictur dictionari produc entri text pictori refer interact softwar titl also featur record tool compar pronunci nativ speaker microphon requir quizz challeng memori game let test newli acquir skill also track score print award celebr best chang talk arab onscreen help menu languag choic languag choos softwar make learn arab access everyon,"['beginn egyptian', 'softwar titl', 'choic languag', 'pictori refer', 'speaker microphon', 'unconvent languag', 'languag choos', 'onscreen help', 'text pictori', 'success ideal', 'chang talk', 'way studi', 'dictionari produc', 'also track', 'egyptian perfect', 'newli acquir', 'arab access', 'pictur dictionari', 'skill also', 'quizz make', 'develop solid', 'topic vocabulari', 'vocabulari phrase', 'learn arab', 'refer interact', 'best chang', 'help menu', 'ideal beginn', 'compar pronunci', 'quizz challeng', 'talk arab', 'award celebr', 'track score', 'handi print', 'menu languag', 'celebr best', 'arab onscreen', 'offer game', 'also featur', 'game let', 'phrase cultur', 'experi vocabulari', 'requir quizz', 'fun unconvent', 'relax success', 'learn experi', 'talk beginn', 'acquir skill', 'featur record', 'access everyon', 'languag choic', 'tool compar', 'new languag', 'titl also', 'let test', 'process fun', 'produc entri', 'languag learn', 'choos softwar', 'exercis develop', 'perfect way', 'softwar make', 'make learn', 'egyptian vocabulari', 'game quizz', 'challeng memori', 'arab includ', 'seri offer', 'entri text', 'languag oper', 'cultur handi', 'print award', 'vocabulari fun', 'memori game', 'includ topic', 'microphon requir', 'oper multipl', 'level creat', 'multipl level', 'fun relax', 'studi new', 'nativ speaker', 'beginn talk', 'record tool', 'solid egyptian', 'score print', 'learn process', 'pronunci nativ', 'cultur exercis', 'test newli', 'vocabulari lesson', 'lesson cultur', 'interact softwar', 'print pictur', 'creat immers', 'learn seri', 'immers learn']",0.018604651162790697
B00005I9O5,talk beginn croatian perfect way studi new languag oper multipl level creat immers learn experi vocabulari lesson cultur exercis develop solid croatian vocabulari fun unconvent languag learn seri offer game quizz make learn process fun relax success ideal beginn talk croatian includ topic vocabulari phrase cultur handi print pictur dictionari produc entri text pictori refer interact softwar titl also featur record tool compar pronunci nativ speaker microphon requir quizz challeng memori game let test newli acquir skill also track score print award celebr best chang talk croatian onscreen help menu languag choic languag choos softwar make learn croatian access everyon,"['softwar titl', 'croatian onscreen', 'choic languag', 'pictori refer', 'speaker microphon', 'learn croatian', 'croatian access', 'unconvent languag', 'languag choos', 'onscreen help', 'text pictori', 'success ideal', 'chang talk', 'way studi', 'dictionari produc', 'also track', 'newli acquir', 'pictur dictionari', 'skill also', 'quizz make', 'develop solid', 'topic vocabulari', 'vocabulari phrase', 'refer interact', 'best chang', 'help menu', 'ideal beginn', 'compar pronunci', 'quizz challeng', 'award celebr', 'track score', 'handi print', 'menu languag', 'celebr best', 'offer game', 'croatian perfect', 'also featur', 'game let', 'phrase cultur', 'experi vocabulari', 'requir quizz', 'fun unconvent', 'relax success', 'learn experi', 'talk beginn', 'acquir skill', 'featur record', 'access everyon', 'languag choic', 'tool compar', 'new languag', 'titl also', 'let test', 'process fun', 'produc entri', 'languag learn', 'choos softwar', 'exercis develop', 'perfect way', 'softwar make', 'make learn', 'game quizz', 'challeng memori', 'seri offer', 'entri text', 'languag oper', 'cultur handi', 'print award', 'vocabulari fun', 'memori game', 'includ topic', 'microphon requir', 'oper multipl', 'croatian vocabulari', 'level creat', 'multipl level', 'fun relax', 'studi new', 'nativ speaker', 'beginn talk', 'record tool', 'talk croatian', 'beginn croatian', 'score print', 'learn process', 'pronunci nativ', 'croatian includ', 'cultur exercis', 'test newli', 'vocabulari lesson', 'lesson cultur', 'interact softwar', 'print pictur', 'creat immers', 'learn seri', 'immers learn', 'solid croatian']",0.018604651162790697
B00NH9YDPE,rosetta stone team barron offer uniqu spanish languag learn packag power learner includ award win rosetta stone spanish level plu barron spanish english dictionari grammar book phrase book learn spanish proven rosetta stone way glanc backup barron never left without right spanish word phrase compat chromebook,"['barron offer', 'phrase book', 'grammar book', 'languag learn', 'learn spanish', 'plu barron', 'offer uniqu', 'rosetta stone', 'uniqu spanish', 'learner includ', 'barron never', 'team barron', 'without right', 'phrase compat', 'power learner', 'learn packag', 'stone spanish', 'glanc backup', 'left without', 'english dictionari', 'right spanish', 'never left', 'compat chromebook', 'book learn', 'spanish languag', 'award win', 'stone team', 'spanish english', 'dictionari grammar', 'includ award', 'win rosetta', 'book phrase', 'backup barron', 'stone way', 'spanish level', 'level plu', 'barron spanish', 'spanish proven', 'word phrase', 'spanish word', 'way glanc', 'packag power', 'proven rosetta']",0.018518518518518517
B00004UAB5,talk beginn greek perfect way studi new languag oper multipl level creat immers learn experi vocabulari lesson cultur exercis develop solid greek vocabulari fun unconvent languag learn seri offer game quizz make learn process fun relax success ideal beginn talk greek includ topic vocabulari phrase cultur handi print pictur dictionari produc entri text pictori refer interact softwar titl also featur record tool compar pronunci nativ speaker microphon requir quizz challeng memori game let test newli acquir skill also track score print award celebr best chang talk norwegian onscreen help menu languag choic languag choos softwar make learn greek access everyon,"['beginn greek', 'softwar titl', 'choic languag', 'pictori refer', 'speaker microphon', 'solid greek', 'unconvent languag', 'languag choos', 'onscreen help', 'text pictori', 'success ideal', 'chang talk', 'talk greek', 'way studi', 'dictionari produc', 'also track', 'newli acquir', 'pictur dictionari', 'skill also', 'quizz make', 'talk norwegian', 'develop solid', 'norwegian onscreen', 'topic vocabulari', 'vocabulari phrase', 'learn greek', 'refer interact', 'best chang', 'help menu', 'ideal beginn', 'compar pronunci', 'quizz challeng', 'award celebr', 'track score', 'handi print', 'menu languag', 'celebr best', 'offer game', 'greek includ', 'also featur', 'game let', 'phrase cultur', 'experi vocabulari', 'requir quizz', 'fun unconvent', 'relax success', 'learn experi', 'talk beginn', 'acquir skill', 'featur record', 'access everyon', 'languag choic', 'tool compar', 'new languag', 'titl also', 'let test', 'process fun', 'produc entri', 'languag learn', 'choos softwar', 'exercis develop', 'perfect way', 'softwar make', 'make learn', 'game quizz', 'challeng memori', 'seri offer', 'entri text', 'languag oper', 'greek vocabulari', 'cultur handi', 'print award', 'vocabulari fun', 'memori game', 'includ topic', 'microphon requir', 'oper multipl', 'level creat', 'multipl level', 'fun relax', 'studi new', 'nativ speaker', 'beginn talk', 'record tool', 'score print', 'learn process', 'pronunci nativ', 'greek perfect', 'cultur exercis', 'test newli', 'vocabulari lesson', 'greek access', 'lesson cultur', 'interact softwar', 'print pictur', 'creat immers', 'learn seri', 'immers learn']",0.018518518518518517
B0002H6X34,introduc reader rabbit learn system preschool integr program design teach child essenti development skill uniqu combin proven learn techniqu complementari learn aid grade base softwar featur multi subject cd dozen game lesson printabl activ cd project well sing along cd origin song flashcard sheet sticker also includ,"['uniqu combin', 'cd project', 'featur multi', 'introduc reader', 'complementari learn', 'multi subject', 'proven learn', 'flashcard sheet', 'reader rabbit', 'aid grade', 'sticker also', 'preschool integr', 'subject cd', 'integr program', 'system preschool', 'child essenti', 'activ cd', 'development skill', 'along cd', 'grade base', 'learn techniqu', 'cd dozen', 'essenti development', 'learn aid', 'program design', 'project well', 'dozen game', 'well sing', 'design teach', 'techniqu complementari', 'combin proven', 'softwar featur', 'teach child', 'learn system', 'rabbit learn', 'sing along', 'sheet sticker', 'base softwar', 'cd origin', 'game lesson', 'lesson printabl', 'song flashcard', 'origin song', 'printabl activ', 'also includ', 'skill uniqu']",0.01818181818181818
