Unnamed: 0,asin,description,emotion_spacy,most_significant_emotion_spacy
12,0545069882,spanish know gold edit learn spanish flash,Counter({'positive': 2}),positive
14,0545352886,entertain bright joyou romp fill play laughter learn set audio cd wonder way read along belov stori,"Counter({'positive': 3, 'trust': 1, 'anticipation': 1})",positive
17,0615165982,sooth background music femal voic lull relax state stimul person spiritu insight self heal audio sampl googl benita esposito journey whole cd cd help enter state flow access divin guidanc intuit success prosper health relax breath process meet wise guid imagin help receiv answer import question feel held arm love reprogram mind posit affirm elimin critic self talk build self esteem promot spiritu intimaci relax quiet calm state connect authent self,"Counter({'positive': 8, 'anticipation': 4, 'trust': 3, 'sadness': 2, 'negative': 1})",positive
19,0615897398,season chang life slow forest join mindi friend bluebel wood scrabbl biggest juiciest blackberri carv silliest scariest jack lantern share true spirit give snow three whole day master storytel jacquelin houston bring mindi mousekin world aliv heartwarm tale fun adventur,"Counter({'positive': 4, 'trust': 2, 'anticipation': 2})",positive
46,0778609723,ladi tri littl tender delilah one man woman one woman man say stay tomorrow sunshin gone lean letter lucil one night love maker love air till girl love,"Counter({'positive': 3, 'anticipation': 2, 'trust': 1})",positive
49,0819815802,god loveli magnificat come holi ghost ave maria holi god prais thi name pan de vida holi holi holi amaz grace ave maria heart gift forest wheat sanctissima king love shepherd tabl plenti bread life,"Counter({'positive': 3, 'trust': 2, 'anticipation': 2, 'fear': 1})",positive
55,0850254418,volum midnight special abiyoyo flower gone moos come walk ship come guantanamera ross perot guid answer embarrass question sail golden river hammer soldier make home midnight special volum de color solo le pido dio wake dead gabriel mother highway ballad blue hill glenshe littl n citi new orlean jacob ladder wimoweh mbube amaz grace land land,"Counter({'positive': 8, 'anticipation': 2, 'negative': 1, 'sadness': 1})",positive
69,0925480088,calm mind diminish stress elimin fatigu revit bodi immers realiz marvel talent enter deepest state relax complet relief unhealthi tension open peac feel joy,"Counter({'positive': 5, 'sadness': 1, 'negative': 1, 'anger': 1})",positive
81,0970771908,beauti love voic insid could answer everi question way one els could inner advoc believ dream could comfort inspir bolster everi step way much one hour record cd captur tama kiev teleclass learn connect voic trust util singular brillianc power event particip email tama burn question topic answer one hour call receiv much posit feedback peopl call eager share materi everyon took year write book probabl took long realli live write want put someth live wrote book book need read read kind self help book career could never find book went past great idea work love show actual live fear wonder journey book wrote,"Counter({'positive': 7, 'anticipation': 6, 'trust': 3, 'negative': 1})",positive
89,0972433503,ionic yoga guid relax cd design use ionic foot bath ionic yoga uniqu guid listen foot bath set enhanc releas tension toxin session ionic yoga employ yogic principl bodi breath awar along heal affirm visual increas benefici result foot bath cd four track introduct short minut relax two minut relax sequenc ideal typic minut foot bath session use ionic foot bath,"Counter({'positive': 5, 'trust': 3, 'negative': 2, 'anticipation': 2, 'anger': 1})",positive
96,0976757613,tim th album main humor record enthusiast audienc fall showcas main favorit nativ storytel top form whether explor main comic absurd rural main life spin timeless tale sea shore main humorist laureat continu deliv big laugh alway tim sampl cd suitabl age,"Counter({'positive': 8, 'anticipation': 2, 'sadness': 1, 'negative': 1})",positive
104,0982625383,art behind tape first book dedic mixtap cultur compil collect interview artwork compil dj mar art behind tape team bril ndiay mauric garland tai saint loui book thorough look ever done mixtap cultur begin park jam way current day show mixtap shape hip hop decad book featur deep breath red alert jazzi joyc bruci b dj envi doo wop cipha sound funkmast flex mick jazzi jeff dj clue ron g dj premier dj self dj whoo kid silva surfa stretch armstrong cosmic kev neil armstrong dj skee statik selektah dj drama dj soul countless tape forward kid capri art behind tape also showcas mani classic tape cover everi era endless amount eye candi trip memori lane rap fan page full color mixtap art interview book expertli done enough justic god favorit dj clark kent say god bless dj mar tell stori belov mixtap world perfect read anybodi want learn one hip hop vital tool mixtap blaze add say love book understat mar team accomplish seemingli imposs present archiv histori way describ shine exampl dedic love craft importantli cultur,"Counter({'positive': 13, 'anticipation': 11, 'negative': 7, 'trust': 5, 'surprise': 1})",positive
