	asin	description	similarity
1123	B00004NK4G	Tracklist: 1   Eya (Authentic)  5:13   2   Eya (Flow Mix #2)      Remix  Thomas Fehlmann    7:27   3   Eya (Green Velvet Funk Mix)      Remix  Green Velvet    7:53   4   Eya (Pro Plus Mix)      Remix  Skage + Smokes    5:31   5   Eya (Hardware Mix)      Remix  Future Forces Inc    6:02   6   Eya (Cityscape Mix)      Remix  Future Forces Inc	0.0379746835443038
1122	B00004NK4G	Tracklist: 1   Eya (Authentic)  5:13   2   Eya (Flow Mix #2)      Remix  Thomas Fehlmann    7:27   3   Eya (Green Velvet Funk Mix)      Remix  Green Velvet    7:53   4   Eya (Pro Plus Mix)      Remix  Skage + Smokes    5:31   5   Eya (Hardware Mix)      Remix  Future Forces Inc    6:02   6   Eya (Cityscape Mix)      Remix  Future Forces Inc	0.0379746835443038
1143	B00004R8UB	"70's inspired melodic grooves over 90's beats. No rappers, no solos, no singers. Put the top down and chill, baby, chill. Multi-instrumentalist Shane 'the doctor' Faber is the man behind the music. Equally at home on either side of the recording console, he writes and produces all of the material. JeepJazz is a combination of programming and live playing, digital and analog recording techniques and Shane's unique sense of melody and composition. It all comes together on this followup to the original JeepJazz Project CD, ""Digital Flavor on the Sonic Frontier"", released in 1997. Music from this new CD has already been tapped for the soon to be released films, ""Advice From A Caterpiller"" and ""I'll Take You There"". Band Members: Shane Faber, De Harris"	0.010050251256281407
1142	B00004R8UB	"70's inspired melodic grooves over 90's beats. No rappers, no solos, no singers. Put the top down and chill, baby, chill. Multi-instrumentalist Shane 'the doctor' Faber is the man behind the music. Equally at home on either side of the recording console, he writes and produces all of the material. JeepJazz is a combination of programming and live playing, digital and analog recording techniques and Shane's unique sense of melody and composition. It all comes together on this followup to the original JeepJazz Project CD, ""Digital Flavor on the Sonic Frontier"", released in 1997. Music from this new CD has already been tapped for the soon to be released films, ""Advice From A Caterpiller"" and ""I'll Take You There"". Band Members: Shane Faber, De Harris"	0.010050251256281407
11783	B00347DMN8	LP - The Lettermen She Cried 1964 T 2142 Capitol Records Label; Mono version	0.0
11788	B0034V1WPY	"The Best Of Judy Garland  This mono 2-LP Record album was released as MCA Records MCA2-4003 in 1980...this album is a reissue of the original released as Decca DXP 7172 and the set with same MCA number in 1973.  Judy Garland (vocals) sings on these tracks recorded between 1937 and 1945.  The track listing is as follows:   (Dear Mr. Gable) You Made Me Love You  Over The Rainbow  F.D.R. Jones In-Between  For Me and My Gal (Gene Kelly duet)  The Trolley Song  Meet Me in St. Louis  Poor Little Rich Girl  Sweet Sixteen  When You Wore A Tulip (Gene Kelly duet)  You'll Never Walk Alone  I Never Knew  On The Sunny Side Of The Street  The Boy Next Door  But Not For Me  I'm Always Chasing Rainbows  Our Love Affair A Pretty Girl Milking her Cow  That Old Black Magic  On The Atchison, Topeka and the Santa Fe  Have Yourself A Merry Little Christmas  I'm Nobody's Baby  Zing! Went The Strings Of My Heart     The album cover a minimum of wear and is graded ""EX""  the vinyl is clean and is graded ""M-""        All Grading is visual - Grading is as follows:     NEW: Still factory sealedbrand new product  M-: Mint minusused product in near new condition  EX: Excellentused product with minor flaws not affecting play  VG: Very Goodused product with some damage possibly audible  G: Goodused product that will play, but not with passable quality"	0.0
11787	B0034UOSJC	"This 45 record includes the songs ""One and The Prince"" performed by Metallica part of their And Justice For All album. Released in 1988."	0.0
11786	B0034OZJGO	2009 HAM & STRING RECORDS CD	0.0
11785	B00348KV36	"Tracks are: Call my name, Call My Name (12"" version), Brides of Frankenstein, Brides of Frankenstein (Dub)."	0.0
11784	B00348GHIE	01.-FILOSOFO/YELOWSTONE & VOICE 02.-MALA Y HERMOSA/NEIL SEDAKA 03.-NO DIGAS QUE BO RECUERDAS/BEVERLY BREMERS 04.-DAMA DE PLATA/DAVID SOUL 05.-DULCE Y TRISTE SONADOR/SWEET SENSATION 06.-CON QUIEN ESTABAS A LA LUZ DE LA LUNA/DOLLAR 07.-LIBRE Y SOLITARIO/HARRIS CHALKITIS 08.-NUNCA TE CASES CON UN FERROCARRILERO/SHOCKING BLUE 09.-SOL DE VERANO/JAMESTOWN MASACRE 10.-YO Y MI VIDA/THE TREMELOES 11.-LUCIERNAGA/FIREFLY 12.-VUELA ROBIN VUELA/SILVER CONVENTION 13.-QUIERO BAILAR BUMP CONTIGO/DISCO TEX & THE SEX-O-LETTES 14.-MUSICA Y LUCES /IMAGINATION 15.-BAILE DE CALIFORNIA/WALTER MURPHY 16.-COLECCION PRIVADA/ALBATROS	0.0
11782	B00342W2DO	1865 by Asphalt Messiah	0.0
11790	B0034ZQWMI	Songs: (1) Who's In The Mood  (2) I Just Want You  (3) Rockin' Years  (4) God Gave Me You  (5) I Hurt  (6) Guilty  (7) Hard Times For Lovers  (8) Couple Of Dreamers  (9) Everybody's Gonna Want What We Got  (10) Old Time Lovers	0.0
11781	B00342W36A	Intermediate Italian, Volume 1 by Let's Learn Italian!	0.0
11780	B00342W33I	Oxhorn's Christmas for Geeks by Brandon M. Dennis This product is manufactured on demand using CD-R recordable media. Amazon.com's standard return policy will apply.	0.0
11779	B0033NMR16	"lp/SURPRISE RECORDS CORP. LSR-96  A RARE MONO VINYL LP COMEDY RECORDING THAT IS ""CENSORED NOT FOR AIR PLAY / FOR ADULTS ONLY. PRODUCED AND EDITED BY WOODY HARRIS."	0.0
11778	B0033HC3UW	The box (not jacket) contains three records and a booklet.	0.0
11777	B0033C5JYY	SMUGGLER'S BLUES / NEW LOVE	0.0
11776	B0033B7XF8	"Cole Porter's ""Let's Face It, Red Hot and Blue, Leave it to Me! Smithsonian American Musical Theater Series 1979 Vinyl LP"	0.0
11789	B0034Z3AZ0	RELEASED 2009. TONY IS ONE OF IRELAND'S COUNTRY LEGENDS,	0.0
11792	B003581NDW	LP - The New Christy Minstrels On Tour Through Motortown 1968 CS 9616 Columbia Record Label; Stereo version	0.0
11791	B00355QVAK	A thousand voices sing the finest hymns in Lincoln Cathedral, England.	0.0
11800	B0035KGW0O	Sans blister	0.0
11806	B003629FPA	Styles: Rock, electric jazz, funk, ambient, atmospheric. Neil Plays Keyboards, Synthesizers, Drums, Loops. Additional Musicians: Ryan Ball (guitars), Dan Johanson (guitar), Lou Magliente (drums), Frank 'O the Mountain (drums), Greg Burrows (drums), Marc Slutsky (drums), Lincoln Schliefer (bass)	0.0
11805	B0035VVM1M	Recorded live at Sweet Basil on October 3, 1983.   Track Listing:   Side A:   * The Dream - Ibrahim  * And Find Me Shelter In The Storm - Ibrahim  * Mummy - Ibrahim  * For Coltrane I, For Coltrane II, New York City     Side B:      * Anthem For The New Nation - Ibrahim  * Gwangwa - Ibrahim  * Theme from King Kong - Matshikiza  * Black Lightning - Traditional, arr. by Ibrahim  * Gwidza - Ibrahim  * The Stride - Ibrahim  * Soweto - Ibrahim	0.0
11804	B0035T32RQ	"Original 1965 stereo LP compilation on the black United Artists label, featuring themes and soundtracks from various films, by George Martin (""A Hard Day's Night""), Henry Mancini, John Barry, Andre Previn, Neal Hefti and more."	0.0
